match,bet_on,odds,our_prob,true_prob,edge,bet_amount,result,p&l,capital_after
Leeds United vs Everton,away_win,79.54933160786426,0.18549999999999994,0.013325064819214751,0.1721749351807852,330.4548842865101,LOSS,-330.4548842865101,7217.161752431592
Leeds United vs Everton,away_win,79.54933160786426,0.18549999999999994,0.013325064819214751,0.1721749351807852,315.9866838194162,LOSS,-315.9866838194162,6901.175068612175
West Ham United vs Chelsea,away_win,5.974047772797296,0.4898409893992932,0.17743413516488576,0.31240685423440745,668.1663072150253,WIN,3323.4911322610906,10224.666200873266
West Ham United vs Chelsea,away_win,5.974047772797296,0.4898409893992932,0.17743413516488576,0.31240685423440745,989.9440877852765,LOSS,-989.9440877852765,9234.72211308799
Manchester City vs Tottenham Hotspur,away_win,3.5333333333333337,0.39,0.3,0.09000000000000002,344.4794367184798,LOSS,-344.4794367184798,8890.24267636951
Manchester City vs Tottenham Hotspur,away_win,3.5333333333333337,0.39,0.3,0.09000000000000002,331.629447204047,LOSS,-331.629447204047,8558.613229165463
AFC Bournemouth vs Wolverhampton Wanderers,away_win,14.066582691510648,0.1525,0.07535590009645506,0.07714409990354494,187.5189789655355,LOSS,-187.5189789655355,8371.094250199927
Brentford vs Aston Villa,home_win,3.028571428571429,0.516,0.35,0.16600000000000004,580.5530716617528,LOSS,-580.5530716617528,7790.541178538174
Burnley vs Sunderland,home_win,3.028571428571429,0.5834999999999999,0.35,0.23349999999999993,736.5627506511564,LOSS,-736.5627506511564,7053.9784278870175
AFC Bournemouth vs Wolverhampton Wanderers,away_win,14.066582691510648,0.1525,0.07535590009645506,0.07714409990354494,154.55247211483893,LOSS,-154.55247211483893,6899.425955772179
Brentford vs Aston Villa,home_win,3.028571428571429,0.516,0.35,0.16600000000000004,478.48976628481995,LOSS,-478.48976628481995,6420.936189487359
Burnley vs Sunderland,home_win,3.028571428571429,0.5834999999999999,0.35,0.23349999999999993,607.072385999736,LOSS,-607.072385999736,5813.863803487623
Arsenal vs Leeds United,away_win,-24.011971619432032,0.11111111111111113,-0.04414464654548316,0.1552557576565943,213.15027082078777,LOSS,-213.15027082078777,5600.713532666835
Arsenal vs Leeds United,away_win,-24.011971619432032,0.11111111111111113,-0.04414464654548316,0.1552557576565943,205.3356677467149,LOSS,-205.3356677467149,5395.37786492012
Everton vs Brighton & Hove Albion,home_win,3.028571428571429,0.5374999999999999,0.35,0.1874999999999999,417.4768612028859,LOSS,-417.4768612028859,4977.901003717235
Crystal Palace vs Nottingham Forest,home_win,3.028571428571429,0.4275000000000001,0.35,0.07750000000000012,180.7994677934625,WIN,366.7646346667383,5344.665638383973
Crystal Palace vs Nottingham Forest,home_win,3.028571428571429,0.4275000000000001,0.35,0.07750000000000012,194.12051429553082,WIN,393.78732899950546,5738.452967383479
Everton vs Brighton & Hove Albion,home_win,3.028571428571429,0.5374999999999999,0.35,0.1874999999999999,444.02290126145033,LOSS,-444.02290126145033,5294.430066122029
Newcastle United vs Liverpool,away_win,3.5333333333333337,0.3645,0.3,0.0645,150.42102789834203,LOSS,-150.42102789834203,5144.009038223687
Newcastle United vs Liverpool,away_win,3.5333333333333337,0.3645,0.3,0.0645,146.14738836558553,LOSS,-146.14738836558553,4997.861649858101
Chelsea vs Fulham,away_win,13116.197531247495,0.13849999999999996,8.081610523741346e-05,0.13841918389476254,172.96888579936814,LOSS,-172.96888579936814,4824.8927640587335
Chelsea vs Fulham,away_win,13116.197531247495,0.13849999999999996,8.081610523741346e-05,0.13841918389476254,166.9826785870248,LOSS,-166.9826785870248,4657.910085471709
Sunderland vs Brentford,home_win,3.028571428571429,0.575,0.35,0.22499999999999998,425.6083335140523,LOSS,-425.6083335140523,4232.301751957657
Manchester United vs Burnley,away_win,-26.11732401668536,0.10689470871191876,-0.0405860875839656,0.14748079629588437,147.95023298685808,LOSS,-147.95023298685808,4084.3515189707987
Manchester United vs Burnley,away_win,-26.11732401668536,0.10689470871191876,-0.0405860875839656,0.14748079629588437,142.77827864056397,LOSS,-142.77827864056397,3941.5732403302345
Sunderland vs Brentford,home_win,3.028571428571429,0.575,0.35,0.22499999999999998,360.1543154456676,WIN,730.5987541897829,4672.1719945200175
Wolverhampton Wanderers vs Everton,draw,5.300000000000001,0.38349999999999995,0.19999999999999998,0.18349999999999997,280.479720519863,LOSS,-280.479720519863,4391.692274000155
Tottenham Hotspur vs AFC Bournemouth,away_win,4.662002780621656,0.456,0.2273700917567136,0.2286299082432864,337.5536030845893,LOSS,-337.5536030845893,4054.1386709155654
Tottenham Hotspur vs AFC Bournemouth,away_win,4.662002780621656,0.456,0.2273700917567136,0.2286299082432864,311.60860788764575,WIN,1141.1115885502022,5195.250259465767
Wolverhampton Wanderers vs Everton,draw,5.300000000000001,0.38349999999999995,0.19999999999999998,0.18349999999999997,311.8811427564754,WIN,1341.0889138528446,6536.339173318612
Leeds United vs Newcastle United,home_win,3.028571428571429,0.4514999999999999,0.35,0.10149999999999992,295.9534698229013,LOSS,-295.9534698229013,6240.385703495711
Leeds United vs Newcastle United,home_win,3.028571428571429,0.4514999999999999,0.35,0.10149999999999992,282.55323859595524,LOSS,-282.55323859595524,5957.832464899756
Brighton & Hove Albion vs Manchester City,home_win,3.028571428571429,0.4315000000000001,0.35,0.08150000000000013,225.2857846498541,LOSS,-225.2857846498541,5732.546680249902
Brighton & Hove Albion vs Manchester City,home_win,3.028571428571429,0.4315000000000001,0.35,0.08150000000000013,216.76696760283022,LOSS,-216.76696760283022,5515.779712647072
Nottingham Forest vs West Ham United,away_win,5.316101347772194,0.4740484429065745,0.19939424225691482,0.2746542006496597,485.6511997353893,WIN,2096.1197977250968,7611.899510372169
Nottingham Forest vs West Ham United,away_win,5.316101347772194,0.4740484429065745,0.19939424225691482,0.2746542006496597,670.2095301234162,LOSS,-670.2095301234162,6941.689980248753
Liverpool vs Arsenal,home_win,3.028571428571429,0.5485,0.35,0.1985,565.6255205385086,LOSS,-565.6255205385086,6376.064459710245
Liverpool vs Arsenal,home_win,3.028571428571429,0.5485,0.35,0.1985,519.5369988104042,WIN,1053.9179118725344,7429.982371582779
Aston Villa vs Crystal Palace,away_win,5.266036599337557,0.4881340158213122,0.20128990370734284,0.2868441121139694,683.8327435799499,LOSS,-683.8327435799499,6746.149628002829
Aston Villa vs Crystal Palace,away_win,5.266036599337557,0.4881340158213122,0.20128990370734284,0.2868441121139694,620.8948794228826,WIN,2648.7602799592964,9394.909907962125
Arsenal vs Nottingham Forest,away_win,-78.96754066017449,0.10758472296933837,-0.01342323682792096,0.12100795979725933,278.8983334212384,LOSS,-278.8983334212384,9116.011574540886
Arsenal vs Nottingham Forest,away_win,-78.96754066017449,0.10758472296933837,-0.01342323682792096,0.12100795979725933,270.61892668427515,LOSS,-270.61892668427515,8845.39264785661
AFC Bournemouth vs Brighton & Hove Albion,away_win,13.04346476749764,0.2115,0.0812667507364578,0.13023324926354218,322.9205350882846,WIN,3889.0820870372413,12734.47473489385
Crystal Palace vs Sunderland,away_win,40.062202205774156,0.2815,0.026458855021385282,0.2550411449786147,837.6300044234274,LOSS,-837.6300044234274,11896.844730470424
Fulham vs Leeds United,home_win,3.028571428571429,0.511,0.35,0.16100000000000003,802.8694581133669,WIN,1628.6780436014017,13525.522774071826
Everton vs Aston Villa,away_win,-1128.3952509713397,0.176,-0.000939387150989457,0.17693938715098945,597.5900371286477,LOSS,-597.5900371286477,12927.932736943178
Crystal Palace vs Sunderland,away_win,40.062202205774156,0.2815,0.026458855021385282,0.2550411449786147,850.3550072591,LOSS,-850.3550072591,12077.577729684077
AFC Bournemouth vs Brighton & Hove Albion,away_win,13.04346476749764,0.2115,0.0812667507364578,0.13023324926354218,440.9185683786454,LOSS,-440.9185683786454,11636.659161305432
Everton vs Aston Villa,away_win,-1128.3952509713397,0.176,-0.000939387150989457,0.17693938715098945,514.1355122767252,WIN,-580662.2059210504,-569025.546759745
